Tag,Typ,Name,Adresse_Ort,Latitude,Longitude,Notiz
1,Uebernachtung,Grenoble,"Grenoble, France",45.1885,5.7245,"Standard-Anreiseziel; direkte Autobahnroute ohne Stadtzentrum-Zwischenziele; Crit'Air/ZFE und Garage pruefen; Annecy/Chambery nur Ausweichuebernachtung"
2,Uebernachtung,Sisteron,"Sisteron, France",44.1984,5.9462,"Route Napoleon N85; Meouge nur separate trockene Zusatzrunde"
3,Uebernachtung,Lourmarin,"Lourmarin, France",43.7638,5.3639,"Via Chateau-Arnoux, Forcalquier, Cereste und Apt; Altortkern meiden"
4,Uebernachtung,Nimes,"Nimes, France",43.8367,4.3601,"Verbindlicher Übernachtungsort nach der Camargue"
5,Uebernachtung,Carcassonne,"Carcassonne, France",43.2130,2.3510,"Zwischenstopp vor Barcelona"
6,Uebernachtung,Barcelona,"Barcelona, Spain",41.3874,2.1686,"Garage/ZBE pruefen"
7,Ruhetag,Barcelona,"Barcelona, Spain",41.3874,2.1686,"Ruhetag"
8,Uebernachtung,Falset,"Falset, Spain",41.1460,0.8200,"Priorat-Basis"
9,Ruhetag,Falset,"Falset, Spain",41.1460,0.8200,"Priorat-Runde"
10,Uebernachtung,Albarracin,"Albarracin, Spain",40.4070,-1.4440,"Nicht in Altstadt routen"
11,Ruhetag,Albarracin,"Albarracin, Spain",40.4070,-1.4440,"Runde oder Pause"
12,Uebernachtung,Valencia,"Valencia, Spain",39.4699,-0.3763,"Garage/ZBE pruefen"
13,Ruhetag,Valencia,"Valencia, Spain",39.4699,-0.3763,"Ruhetag"
14,Uebernachtung,Altea,"Altea, Spain",38.6029,-0.0450,"Costa-Blanca-Basis"
15,Ruhetag,Altea,"Altea, Spain",38.6029,-0.0450,"Runde oder Pause"
16,Uebernachtung,Granada,"Granada, Spain",37.1770,-3.5990,"Garage/ZBE pruefen"
17,Ruhetag,Granada,"Granada, Spain",37.1770,-3.5990,"Ruhetag"
18,Ruhetag,Granada,"Granada, Spain",37.1770,-3.5990,"Alpujarras-Runde"
19,Uebernachtung,Ronda,"Ronda, Spain",36.7460,-5.1610,"Anfahrt standardmaessig via Antequera/Campillos; Basis Grazalema"
20,Ruhetag,Ronda,"Ronda, Spain",36.7460,-5.1610,"Grazalema-Runde"
21,Uebernachtung,Ubeda,"Ubeda, Spain",38.0110,-3.3710,"Basis Baeza"
22,Ruhetag,Ubeda,"Ubeda, Spain",38.0110,-3.3710,"Ubeda/Baeza"
23,Uebernachtung,Cuenca,"Cuenca, Spain",40.0700,-2.1370,"Kompakter Stopp"
24,Uebernachtung,Zaragoza,"Zaragoza, Spain",41.6488,-0.8891,"Rueckweg"
25,Uebernachtung,Barcelona,"Barcelona, Spain",41.3874,2.1686,"Vor Faehrpuffer"
26,Faehre,Barcelona Hafen,"Terminal Grimaldi, Muelle de Costa, Barcelona, Spain",41.3540,2.1730,"Faehrroute noch direkt pruefen"
27,Uebernachtung,Aosta,"Aosta, Italy",45.7370,7.3201,"Verbindlicher Übernachtungsort auf dem Heimweg"
28,Ziel,Berikon,"Berikon AG, Switzerland",47.3507,8.3722,"Ziel"
