Nr,Typ,Name,Adresse/Ort,Latitude,Longitude,Empfohlene Strassen/Notiz
1,Start,Berikon,"Berikon AG, Switzerland",47.3507,8.3722,"Start; statt Bellikon"
2,Transit,Lausanne,"Lausanne, Switzerland",46.5197,6.6323,"Autobahn-/Anreisetag"
3,Transit,Geneva,"Geneva, Switzerland",46.2044,6.1432,"Autobahn-/Anreisetag"
4,Transit,Chambery,"Chambery, France",45.5646,5.9178,"Alternative Uebernachtung vor Grenoble"
5,Uebernachtung,Grenoble,"Grenoble, France",45.1885,5.7245,"Start Route Napoleon; sichere Garage suchen"
6,Route,Vizille,"Vizille, France",45.0787,5.7728,"N85 Route Napoleon"
7,Route,Laffrey,"Laffrey, France",45.0252,5.7788,"N85 Route Napoleon"
8,Route,La Mure,"La Mure, France",44.9033,5.7869,"N85 Route Napoleon"
9,Route,Corps,"Corps, France",44.8176,5.9473,"N85 Route Napoleon"
10,Route,Gap,"Gap, France",44.5596,6.0798,"N85 Route Napoleon"
11,Uebernachtung,Sisteron,"Sisteron, France",44.1984,5.9462,"Route Napoleon; guter Stopp"
12,Optional,Laragne-Monteglin,"Laragne-Monteglin, France",44.3153,5.8213,"Optional Gorges de la Meouge"
13,Optional,Antonaves,"Antonaves, France",44.2629,5.8042,"Optional Gorges de la Meouge"
14,Optional,Barret-sur-Meouge,"Barret-sur-Meouge, France",44.2638,5.7358,"Optional Gorges de la Meouge; nur trocken"
15,Transit,Malijai,"Malijai, France",44.0451,6.0301,"N85 Richtung Digne"
16,Uebernachtung,Digne-les-Bains,"Digne-les-Bains, France",44.0920,6.2356,"Alternative zu Sisteron"
17,Route,Forcalquier,"Forcalquier, France",43.9595,5.7796,"Provence-/Luberon-Uebergang"
18,Route,Manosque,"Manosque, France",43.8340,5.7869,"Richtung Luberon"
19,Route,Apt,"Apt, France",43.8766,5.3965,"Luberon"
20,Route,Bonnieux,"Bonnieux, France",43.8232,5.3075,"Nicht in engen Ortskern routen"
21,Uebernachtung,Lourmarin,"Lourmarin, France",43.7638,5.3639,"Alternative Luberon-Basis"
22,Uebernachtung,Aix-en-Provence,"Aix-en-Provence, France",43.5297,5.4474,"Urbanere Basis; Marseille/Toulon auslassen"
23,Uebernachtung,Arles,"Arles, France",43.6766,4.6278,"Camargue-Basis; Stadtfotografie"
24,Foto,Parc ornithologique du Pont de Gau,"Parc ornithologique du Pont de Gau, Saintes-Maries-de-la-Mer, France",43.4873,4.4048,"An D570; guter Asphalt-Zielpunkt"
25,Route,Saintes-Maries-de-la-Mer,"Saintes-Maries-de-la-Mer, France",43.4523,4.4290,"D570; Camargue/Meer"
26,Route,Aigues-Mortes,"Aigues-Mortes, France",43.5669,4.1906,"D38/D58; Fotostopp"
27,Uebernachtung,Nimes,"Nimes, France",43.8367,4.3601,"D979 ab Aigues-Mortes"
28,Alternative,Uzes,"Uzes, France",44.0121,4.4197,"Alternative zu Nimes"
29,Route,Sommieres,"Sommieres, France",43.7846,4.0902,"Richtung Pezenas"
30,Route,Pezenas,"Pezenas, France",43.4595,3.4232,"Languedoc"
31,Route,Beziers,"Beziers, France",43.3442,3.2158,"Bei Verkehr groessere Strassen nutzen"
32,Route,Capestang,"Capestang, France",43.3264,3.0436,"Minervois/Canal-du-Midi-Achse"
33,Uebernachtung,Carcassonne,"Carcassonne, France",43.2130,2.3510,"Zwischenstopp vor Barcelona"
34,Foto,Collioure,"Collioure, France",42.5251,3.0832,"Optionaler Fotostopp; keine Pyrenaeen-Kleinststrassen"
