Tag,Etappe,Start,Ziel,Uebernachtung,Charakter,Wegpunkte,Strassen_Notiz,Google_Maps_Link
1,"Berikon - Grenoble","Berikon AG","Grenoble","Grenoble; alternativ Annecy oder Chambery","Anreise","Direkte Route ohne Stadtzentrum-Zwischenziele","Autobahn A1/A41; Autobahnen nicht vermeiden; Crit'Air/Grenoble pruefen","https://www.google.com/maps/dir/?api=1&origin=Berikon%2C%20Switzerland&destination=Grenoble%2C%20France&travelmode=driving"
2,"Route Napoleon","Grenoble","Sisteron","Sisteron","Kurviger Hauptstrassen-Tag","Vizille | Laffrey | La Mure | Corps | Gap","N85 halten; Meouge nur als separate trockene Zusatzrunde","https://www.google.com/maps/dir/?api=1&origin=Grenoble%2C%20France&destination=Sisteron%2C%20France&waypoints=Vizille%2C%20France%7CLaffrey%2C%20France%7CLa%20Mure%2C%20France%7CCorps%2C%20France%7CGap%2C%20France&travelmode=driving"
3,"Sisteron - Luberon","Sisteron","Lourmarin","Lourmarin oder Aix-en-Provence","Provence","Chateau-Arnoux | Malijai | Forcalquier | Cereste | Apt | Parkplatz Bonnieux","Digne kein Pflichtpunkt; Altortkerne meiden; Manosque als Hauptachsen-Alternative","https://www.google.com/maps/dir/?api=1&origin=Sisteron%2C%20France&destination=Lourmarin%2C%20France&waypoints=Ch%C3%A2teau-Arnoux-Saint-Auban%2C%20France%7CMalijai%2C%20France%7CForcalquier%2C%20France%7CC%C3%A9reste%2C%20France%7CApt%2C%20France%7CParking%20Bonnieux%2C%20France&travelmode=driving"
4,"Camargue-Abstecher","Lourmarin","Nimes","Nimes oder Uzes","Camargue","Arles | Pont de Gau | Saintes-Maries-de-la-Mer | Aigues-Mortes","Nur asphaltierte D-Strassen; keine Pisten/Strandzufahrten","https://www.google.com/maps/dir/?api=1&origin=Lourmarin%2C%20France&destination=N%C3%AEmes%2C%20France&waypoints=Arles%2C%20France%7CParc%20ornithologique%20du%20Pont%20de%20Gau%2C%20Saintes-Maries-de-la-Mer%2C%20France%7CSaintes-Maries-de-la-Mer%2C%20France%7CAigues-Mortes%2C%20France&travelmode=driving"
5,"Nimes - Carcassonne","Nimes","Carcassonne","Carcassonne","Languedoc","Sommieres | Pezenas | Beziers | Capestang","Bei Verkehr/Wetter A9/A61 nutzen","https://www.google.com/maps/dir/?api=1&origin=N%C3%AEmes%2C%20France&destination=Carcassonne%2C%20France&waypoints=Sommi%C3%A8res%2C%20France%7CP%C3%A9zenas%2C%20France%7CB%C3%A9ziers%2C%20France%7CCapestang%2C%20France&travelmode=driving"
6,"Carcassonne - Barcelona","Carcassonne","Barcelona","Barcelona","Transfer mit Fotostopp","Narbonne | Collioure | Figueres | Girona","Collioure optional; keine kleinen Pyrenaeenpaesse","https://www.google.com/maps/dir/?api=1&origin=Carcassonne%2C%20France&destination=Barcelona%2C%20Spain&waypoints=Narbonne%2C%20France%7CCollioure%2C%20France%7CFigueres%2C%20Spain%7CGirona%2C%20Spain&travelmode=driving"
7,"Barcelona Ruhetag","Barcelona","Barcelona","Barcelona","Ruhetag","","Garage/ZBE pruefen",""
8,"Barcelona - Falset","Barcelona","Falset","Falset","Kueste/Priorat","Sitges | Tarragona | Reus","Kuestenabschnitt optional; nicht ueberfrachten","https://www.google.com/maps/dir/?api=1&origin=Barcelona%2C%20Spain&destination=Falset%2C%20Spain&waypoints=Sitges%2C%20Spain%7CTarragona%2C%20Spain%7CReus%2C%20Spain&travelmode=driving"
9,"Priorat-Runde","Falset","Falset","Falset","Lokale Runde","Gratallops | La Vilella Baixa | Escaladei | Cornudella de Montsant | Porrera","Nur asphaltierte Weinstrassen; Siurana nur bewusst","https://www.google.com/maps/dir/?api=1&origin=Falset%2C%20Spain&destination=Falset%2C%20Spain&waypoints=Gratallops%2C%20Spain%7CLa%20Vilella%20Baixa%2C%20Spain%7CEscaladei%2C%20Spain%7CCornudella%20de%20Montsant%2C%20Spain%7CPorrera%2C%20Spain&travelmode=driving"
10,"Falset - Albarracin","Falset","Albarracin","Albarracin","Inland","Gandesa | Alcaniz | Teruel | Gea de Albarracin","N-420 bis Teruel, A-1512 nach Albarracin","https://www.google.com/maps/dir/?api=1&origin=Falset%2C%20Spain&destination=Albarrac%C3%ADn%2C%20Spain&waypoints=Gandesa%2C%20Spain%7CAlca%C3%B1iz%2C%20Spain%7CTeruel%2C%20Spain%7CGea%20de%20Albarrac%C3%ADn%2C%20Spain&travelmode=driving"
11,"Albarracin-Runde oder Pause","Albarracin","Albarracin","Albarracin","Flex","Orihuela del Tremedal | Bronchales | Noguera de Albarracin | Tramacastilla","Nur wenn Google klar auf Asphalt fuehrt","https://www.google.com/maps/dir/?api=1&origin=Albarrac%C3%ADn%2C%20Spain&destination=Albarrac%C3%ADn%2C%20Spain&waypoints=Orihuela%20del%20Tremedal%2C%20Spain%7CBronchales%2C%20Spain%7CNoguera%20de%20Albarrac%C3%ADn%2C%20Spain%7CTramacastilla%2C%20Spain&travelmode=driving"
12,"Albarracin - Valencia","Albarracin","Valencia","Valencia","Transfer","Teruel | Segorbe","N-234 bei gutem Wetter, sonst A-23","https://www.google.com/maps/dir/?api=1&origin=Albarrac%C3%ADn%2C%20Spain&destination=Valencia%2C%20Spain&waypoints=Teruel%2C%20Spain%7CSegorbe%2C%20Spain&travelmode=driving"
13,"Valencia Ruhetag","Valencia","Valencia","Valencia","Ruhetag","","Garage/ZBE pruefen",""
14,"Valencia - Altea","Valencia","Altea","Altea","Costa-Blanca-Hinterland","Xativa | Bocairent | Alcoy | Guadalest","Kurvig; bei Muedigkeit Kuestenvariante","https://www.google.com/maps/dir/?api=1&origin=Valencia%2C%20Spain&destination=Altea%2C%20Spain&waypoints=X%C3%A0tiva%2C%20Spain%7CBocairent%2C%20Spain%7CAlcoy%2C%20Spain%7CGuadalest%2C%20Spain&travelmode=driving"
15,"Altea Flex","Altea","Altea","Altea","Ruhetag/Flex","Guadalest optional","Kurze Runde statt Pflichtetappe","https://www.google.com/maps/dir/?api=1&origin=Altea%2C%20Spain&destination=Altea%2C%20Spain&waypoints=Guadalest%2C%20Spain&travelmode=driving"
